"Search query: ""AFNI"" ""Neuroimaging"""
Year,Count
2025,1
2024,5
2023,5
2022,3
2021,10
2020,6
2019,10
2018,7
2017,7
2016,6
2015,1
2014,3
2013,1
2012,2
2011,2
2010,1
2009,2
2008,1
2006,2
2005,2
2004,2
2003,1
