"Search query: ""SPM"" ""Neuroimaging"""
Year,Count
2025,5
2024,14
2023,17
2022,26
2021,29
2020,18
2019,42
2018,34
2017,29
2016,46
2015,29
2014,19
2013,19
2012,25
2011,23
2010,17
2009,13
2008,10
2007,12
2006,7
2005,12
2004,11
2003,11
2002,6
2001,7
2000,4
1999,2
1998,5
1997,1
1996,1
