"Search query: ""Python"" ""Neuroimaging"""
Year,Count
2025,14
2024,23
2023,21
2022,27
2021,21
2020,18
2019,11
2018,8
2017,6
2016,4
2015,1
2014,4
2013,3
2012,2
2011,2
2010,1
2009,2
